"","source","target","count"
"1","AZ","VA",4162
"2","AZ","FL",4542
"3","AZ","IL",5818
"4","AZ","UT",6827
"5","AZ","NV",6999
"6","AZ","OR",7736
"7","AZ","CO",7987
"8","AZ","WA",14252
"9","AZ","TX",18628
"10","AZ","CA",33670
"11","CA","ID",21018
"12","CA","VA",21210
"13","CA","NY",25255
"14","CA","FL",26888
"15","CA","CO",28288
"16","CA","OR",43058
"17","CA","NV",50707
"18","CA","WA",55467
"19","CA","AZ",68516
"20","CA","TX",86164
"21","NY","SC",12721
"22","NY","VA",17983
"23","NY","TX",18925
"24","NY","MA",19960
"25","NY","NC",25596
"26","NY","CT",27361
"27","NY","CA",34848
"28","NY","PA",43048
"29","NY","FL",63033
"30","NY","NJ",64810
"31","TX","AR",15531
"32","TX","WA",18425
"33","TX","NC",18748
"34","TX","AZ",20245
"35","TX","GA",22746
"36","TX","LA",23588
"37","TX","FL",24197
"38","TX","CO",26930
"39","TX","OK",31551
"40","TX","CA",37810
